,,,,,,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,11,11,11,11,11,12,12,12,12,12,12,12,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,15,15,15,15,15,15,16,16,16,16,16,16,16,17,17,17,17,17,17,17,18,18,18,18,18,18,18,19,19,19,19,19,19,19,20,20,20,20,20,20,20,21,21,21,21,21,21,21
2,13,孫穎莎(RSH),05:08,0,18,Y,F,3,5,1,1,2,2,B,5,2,A,1,2,5,F,2,2,5,2,1,8,B,2,2,1,2,1,8,F,2,2,2,2,1,8,F,2,2,2,2,1,8,B,2,2,B,2,1,8,F,2,6,1,2,1,A,B,6,2,B,2,1,8,B,2,2,1,2,1,8,B,2,2,6,2,1,8,B,2,5,2,2,1,8,F,5,3,2,2,1,7,F,3,3,2,2,1,A,B,3,2,6,2,1,8,B,2,1,1,2,1,7,F,1,0,B,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,孫穎莎(RSH),05:09,1,4,Y,F,3,5,1,1,2,2,F,5,1,8,2,2,7,F,1,1,1,2,1,A,B,1,0,6,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15,Sofia POLCANOVA(LSH),05:10,0,7,X,F,1,3,1,2,2,A,B,3,3,1,2,1,7,F,3,3,2,2,1,A,B,3,2,6,2,1,7,F,2,2,1,2,1,8,B,2,2,6,2,1,8,F,2,0,1,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16,Sofia POLCANOVA(LSH),06:10,1,4,X,F,2,4,1,2,2,1,F,4,2,1,2,1,8,F,2,2,6,2,1,8,F,2,0,1,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,17,孫穎莎(RSH),06:11,1,4,Y,F,3,2,1,2,2,5,F,2,2,8,1,2,8,F,2,1,1,2,1,A,B,1,0,B,2,1,O,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,Sofia POLCANOVA(LSH),01:00,1,4,X,F,1,5,1,1,2,2,F,5,2,8,2,2,8,F,2,2,1,2,1,8,F,2,0,2,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,Sofia POLCANOVA(LSH),01:01,0,7,X,F,1,2,1,1,2,2,F,2,2,8,2,2,8,B,2,2,1,2,1,8,B,2,3,6,2,1,7,F,3,2,5,2,1,8,F,2,2,1,2,1,8,B,2,0,B,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,孫穎莎(RSH),01:02,1,2,Y,F,3,2,1,2,2,8,F,2,0,1,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,孫穎莎(RSH),01:03,1,4,Y,F,3,5,1,1,2,2,F,5,2,1,2,1,8,B,2,2,6,2,1,8,F,2,0,5,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,Sofia POLCANOVA(LSH),02:03,1,2,X,F,1,5,1,1,2,2,B,5,0,8,1,2,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,Sofia POLCANOVA(LSH),02:04,0,5,X,F,1,5,1,1,2,2,B,5,3,4,2,1,7,F,3,2,1,2,1,8,B,2,2,6,2,1,8,B,2,0,6,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,孫穎莎(RSH),02:05,1,2,Y,F,3,2,1,2,2,8,B,2,0,1,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8,孫穎莎(RSH),03:05,0,5,Y,F,3,2,1,2,2,5,F,2,2,8,1,2,8,F,2,1,1,2,1,A,B,1,3,6,2,1,A,B,3,0,6,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9,Sofia POLCANOVA(LSH),03:06,0,1,X,F,1,0,1,1,2,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,Sofia POLCANOVA(LSH),04:06,1,2,X,F,1,5,1,1,2,2,B,5,0,4,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,孫穎莎(RSH),04:07,1,3,Y,F,3,1,1,2,2,A,B,1,2,8,1,2,8,F,2,3,1,3,1,7,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12,孫穎莎(RSH),04:08,1,3,Y,F,3,5,1,1,2,4,F,5,5,1,2,1,A,F,5,3,2,2,1,7,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,Sofia POLCANOVA(LSH),05:08,1,13,X,F,1,3,1,2,2,A,B,3,6,1,2,1,7,F,6,5,2,2,1,8,F,5,3,2,2,1,7,F,3,2,2,2,1,8,F,2,2,2,3,1,8,B,2,2,6,2,1,8,F,2,3,1,2,1,7,F,3,2,2,3,1,8,B,2,1,6,2,1,A,B,1,1,1,2,1,7,F,1,2,5,2,1,8,F,2,3,1,2,1,A,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14,Sofia POLCANOVA(LSH),05:09,0,3,X,F,1,2,1,2,2,2,F,2,1,8,2,2,A,B,1,0,1,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,15,孫穎莎(RSH),06:09,0,7,Y,F,2,5,1,1,2,2,F,5,3,8,2,1,A,B,3,2,1,2,1,8,F,2,3,5,2,1,A,B,3,2,B,2,1,8,F,2,2,1,2,1,8,B,2,0,B,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,孫穎莎(RSH),06:10,1,4,Y,F,3,5,1,1,2,2,F,5,2,8,2,2,8,F,2,3,1,2,1,7,F,3,0,B,9,9,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,Sofia POLCANOVA(LSH),06:11,0,3,X,F,1,1,1,2,2,7,F,1,2,1,2,1,8,F,2,0,2,2,1,O,SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
