,,,,,,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,11,11,11,11,11,12,12,12,12,12,12,12,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,15,15,15,15,15,15,16,16,16,16,16,16,16,17,17,17,17,17,17,17,18,18,18,18,18,18,18,19,19,19,19,19,19,19,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,陳夢(RSH),03:07,0,5,X,F,3,3,1,2,2,A,B,3,3,1,2,1,A,B,3,2,2,3,1,A,B,2,2,2,3,1,8,F,2,0,2,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,孫穎莎(RSH),03:08,1,10,Y,F,3,2,1,2,2,8,B,2,3,1,2,1,A,B,3,2,2,3,1,8,B,2,3,2,3,1,A,B,3,2,2,2,1,8,B,2,1,2,2,1,7,F,1,1,2,2,1,7,F,1,2,2,3,1,8,F,2,1,2,2,1,7,F,1,0,2,3,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,孫穎莎(RSH),04:08,0,2,Y,F,3,5,1,1,2,2,F,5,5,A,1,3,5,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,陳夢(RSH),04:09,0,16,X,F,3,4,1,1,2,1,F,4,5,A,1,3,2,F,5,2,8,1,2,8,F,2,3,1,3,1,A,B,3,2,6,3,1,8,B,2,1,1,3,1,7,F,1,3,2,3,1,A,B,3,2,6,2,1,8,F,2,2,1,2,1,8,B,2,2,2,2,1,8,F,2,3,2,2,1,A,B,3,2,2,3,1,8,B,2,2,2,2,1,8,B,2,3,2,2,1,A,B,3,2,2,2,1,8,B,2,1,2,2,1,7,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,陳夢(RSH),04:10,0,5,X,F,3,4,1,1,2,1,F,4,5,A,1,3,2,F,5,2,8,1,2,8,F,2,1,1,3,1,7,F,1,0,2,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,孫穎莎(RSH),04:11,1,5,Y,F,3,3,1,2,2,6,B,3,3,1,2,1,A,B,3,2,2,2,1,8,B,2,2,2,2,1,8,B,2,3,3,3,1,A,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,孫穎莎(RSH),1:0,0,5,Y,F,3,2,1,1,2,8,B,2,2,1,2,1,8,B,2,2,2,2,1,8,B,2,1,2,2,1,7,F,1,0,2,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,孫穎莎(RSH),1:1,1,2,Y,F,3,2,1,1,2,8,B,2,0,1,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,陳夢(RSH),2:1,1,2,X,F,3,2,1,1,2,8,B,2,0,1,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,陳夢(RSH),2:2,0,3,X,F,3,5,1,1,2,5,B,5,5,8,1,2,5,F,5,0,1,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,孫穎莎(RSH),2:3,1,4,Y,F,3,2,1,2,2,8,B,2,3,1,2,1,A,B,3,3,2,2,1,A,B,3,0,9,9,9,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,孫穎莎(RSH),3:3,0,11,Y,F,3,5,1,1,2,2,B,5,2,1,2,1,8,B,2,3,2,2,1,A,B,3,2,2,2,1,8,B,2,2,2,2,1,8,B,2,1,2,2,1,7,F,1,3,2,2,1,A,B,3,5,B,1,1,5,F,5,5,1,2,1,5,B,5,1,2,2,1,7,F,1,0,2,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,陳夢(RSH),4:3,1,5,X,F,3,4,1,1,2,1,F,4,5,A,1,2,2,F,5,5,8,1,2,2,F,5,2,1,3,1,8,F,2,1,2,3,1,7,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,陳夢(RSH),5:3,1,8,X,F,3,4,1,1,2,1,F,4,5,A,1,2,2,B,5,2,6,1,1,8,B,2,3,1,2,1,A,B,3,2,2,2,1,8,B,2,3,2,2,1,A,B,3,2,2,2,1,8,B,2,0,2,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,孫穎莎(RSH),6:3,0,3,Y,F,3,5,1,1,2,2,B,5,2,1,2,1,8,F,2,0,2,3,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,孫穎莎(RSH),6:4,1,6,Y,F,3,5,1,1,2,2,F,5,5,A,1,2,2,F,5,5,8,1,2,2,F,5,2,8,1,2,8,F,2,1,1,2,1,7,F,1,0,2,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,陳夢(RSH),7:4,1,8,X,F,3,4,1,1,2,1,F,4,5,A,1,3,2,B,5,5,A,1,2,8,F,5,1,1,3,1,7,F,1,2,2,2,1,8,F,2,2,2,2,1,8,B,2,2,2,2,1,8,F,2,0,2,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,陳夢(RSH),8:4,1,5,X,F,3,4,1,1,2,1,F,4,2,A,1,2,8,B,2,2,1,2,1,A,B,2,2,2,2,1,8,B,2,2,2,2,1,8,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,13,孫穎莎(RSH),9:4,0,7,Y,F,3,5,1,1,2,2,F,5,3,8,1,2,A,F,3,2,1,3,1,8,B,2,5,B,1,1,5,B,5,2,1,2,1,8,B,2,3,B,2,1,A,B,3,0,1,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,孫穎莎(RSH),9:5,1,8,Y,F,3,4,1,2,2,1,F,4,2,A,1,2,5,B,2,3,1,2,1,A,B,3,2,2,2,1,8,B,2,2,2,2,1,8,B,2,1,2,2,1,7,F,1,5,2,2,1,7,F,5,0,2,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15,陳夢(RSH),9:6,0,4,X,F,3,5,1,1,2,2,F,5,5,A,1,2,2,F,5,3,8,2,2,A,B,3,1,1,2,1,7,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16,陳夢(RSH),10:6,1,10,X,F,3,2,1,1,2,2,F,2,2,1,2,1,8,F,2,2,2,3,1,8,F,2,2,5,2,1,8,B,2,2,1,2,1,8,F,2,1,2,2,1,7,F,1,2,2,2,1,8,B,2,1,2,2,1,7,F,1,3,2,3,1,A,B,3,0,B,9,9,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,17,孫穎莎(RSH),10:7,1,18,Y,F,3,2,1,1,2,8,B,2,3,1,2,1,A,B,3,2,2,2,1,8,B,2,2,2,2,1,8,B,2,3,2,3,1,A,B,3,2,2,3,1,8,B,2,2,2,2,1,8,B,2,2,2,2,1,8,B,2,3,2,2,1,A,B,3,3,2,2,1,A,B,3,3,2,2,1,A,B,3,2,2,2,1,8,B,2,3,2,2,1,A,B,3,3,2,2,1,A,B,3,2,2,2,1,A,B,2,2,2,2,1,8,F,2,1,2,2,1,7,F,1,0,2,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18,孫穎莎(RSH),11:7,0,7,Y,F,3,5,1,1,2,2,F,5,2,8,2,2,8,B,2,2,1,2,1,8,B,2,1,2,2,1,7,F,1,1,2,3,1,7,F,1,4,2,3,1,7,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,陳夢(RSH),1:0,1,2,X,F,3,4,1,1,2,1,F,4,0,A,1,2,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,陳夢(RSH),2:0,1,8,X,F,3,4,1,1,2,1,F,4,5,A,1,2,5,B,5,2,1,2,1,8,B,2,2,6,2,1,8,F,2,3,1,2,1,A,B,3,2,2,2,1,8,B,2,3,2,2,1,A,B,3,0,2,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,孫穎莎(RSH),3:0,0,11,Y,F,3,5,1,1,2,6,B,5,2,1,2,1,8,B,2,2,2,3,1,8,B,2,1,B,2,1,7,F,1,2,1,2,1,A,B,2,2,2,2,1,8,F,2,3,2,2,1,A,B,3,2,2,2,1,8,B,2,2,2,2,1,8,B,2,1,2,2,1,7,F,1,0,2,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,孫穎莎(RSH),3:1,1,4,Y,F,3,5,1,1,2,2,F,5,4,A,1,2,1,F,4,2,3,2,1,8,F,2,0,2,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,陳夢(RSH),3:2,0,5,X,F,3,5,1,1,2,2,F,5,5,A,1,2,2,B,5,2,1,2,1,8,B,2,2,2,2,1,8,B,2,0,2,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,陳夢(RSH),3:3,0,9,X,F,2,4,1,1,2,1,F,4,5,A,1,2,2,B,5,3,8,1,2,A,B,3,2,8,1,2,8,B,2,3,1,2,1,A,B,3,2,6,2,1,8,B,2,2,1,2,1,8,F,2,1,2,2,1,7,F,1,0,2,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,孫穎莎(RSH),4:3,0,3,Y,F,3,4,1,2,2,1,F,4,3,8,2,2,A,F,3,0,1,3,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8,孫穎莎(RSH),5:3,0,11,Y,F,3,5,1,1,2,5,B,5,2,1,2,1,8,B,2,2,2,2,1,8,B,2,1,2,2,1,7,F,1,1,2,2,1,7,F,1,3,2,2,1,A,B,3,2,2,2,1,8,F,2,3,2,2,1,A,B,3,2,2,2,1,8,F,2,2,2,3,1,8,F,2,0,5,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9,陳夢(RSH),6:3,1,18,X,F,3,5,1,1,2,2,F,5,5,A,1,2,2,F,5,3,8,1,2,A,F,3,3,1,2,1,A,B,3,2,2,2,1,8,B,2,1,2,2,1,7,F,1,2,2,2,1,8,B,2,2,2,2,1,8,F,2,1,3,3,1,7,F,1,1,1,3,1,7,F,1,2,2,3,1,8,B,2,1,2,2,1,7,F,1,3,2,3,1,A,B,3,3,2,2,1,A,B,3,2,2,2,1,8,B,2,2,2,2,1,8,F,2,1,2,3,1,7,F,1,0,2,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,陳夢(RSH),7:3,1,6,X,F,3,4,1,1,2,1,F,4,5,A,1,2,5,F,5,6,8,1,2,3,B,6,3,1,2,1,A,B,3,2,2,2,1,8,B,2,0,2,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,孫穎莎(RSH),8:3,0,9,Y,F,3,2,1,1,2,5,B,2,2,1,2,1,8,B,2,2,6,2,1,8,F,2,3,1,2,1,A,B,3,5,2,2,1,5,B,5,2,1,2,1,8,F,2,1,2,2,1,7,F,1,2,2,2,1,8,F,2,0,2,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12,孫穎莎(RSH),8:4,1,4,Y,F,3,5,1,2,2,2,B,5,2,1,2,1,A,B,2,2,2,2,1,8,B,2,0,2,2,1,T,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,陳夢(RSH),9:4,1,10,X,F,3,3,1,2,2,A,B,3,2,1,2,1,A,B,2,2,2,2,1,8,B,2,3,2,2,1,A,B,3,3,2,2,1,A,B,3,2,2,2,1,8,B,2,2,2,2,1,8,B,2,2,2,2,1,8,B,2,1,2,2,1,7,F,1,0,2,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14,陳夢(RSH),10:4,1,12,X,F,3,3,1,2,2,7,B,3,5,1,2,1,8,B,5,3,2,2,1,A,B,3,1,2,2,1,7,F,1,3,2,2,1,A,B,3,2,2,2,1,8,F,2,3,2,2,1,A,B,3,2,2,2,1,8,B,2,3,2,2,1,A,B,3,2,2,2,1,8,F,2,1,2,3,1,7,F,1,0,2,2,1,O,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,15,孫穎莎(RSH),11:4,0,17,Y,F,3,6,1,1,2,3,B,6,4,8,2,2,1,F,4,4,A,2,2,1,F,4,2,3,3,1,8,F,2,5,B,2,1,5,F,5,1,3,3,1,7,F,1,1,C,2,1,7,F,1,2,3,3,1,8,B,2,2,C,2,1,8,F,2,3,3,3,1,A,B,3,1,C,2,1,7,F,1,6,3,3,1,A,B,6,3,C,2,1,A,F,3,5,3,3,1,8,B,5,2,C,2,1,8,F,2,3,3,3,1,A,B,3,0,C,2,1,O,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,孫穎莎(RSH),0:1,1,5,Y,F,3,4,1,1,2,1,B,4,2,8,1,2,8,F,2,2,1,3,1,8,F,2,3,5,2,1,A,F,3,2,1,3,1,8,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
